timestamp,temperature,wind_speed,precipitation,humidity
2020-01-01 00:00:00,47.9,1.8,0.0,34.1
2020-01-01 01:00:00,57.8,13.0,0.0,41.6
2020-01-01 02:00:00,67.6,5.1,0.0,31.3
2020-01-01 03:00:00,64.3,11.5,0.0,29.8
2020-01-01 04:00:00,56.5,7.7,0.0,38.6
2020-01-01 05:00:00,72.4,3.4,0.0,36.5
2020-01-01 06:00:00,55.4,3.0,0.0,43.3
2020-01-01 07:00:00,49.6,2.2,0.0,34.0
2020-01-01 08:00:00,57.5,6.7,0.0,32.3
2020-01-01 09:00:00,68.3,6.4,0.0,32.6
2020-01-01 10:00:00,52.6,1.8,0.0,40.8
2020-01-01 11:00:00,59.6,10.4,0.0,39.6
2020-01-01 12:00:00,44.4,10.7,0.0,28.3
2020-01-01 13:00:00,49.9,8.8,0.0,37.8
2020-01-01 14:00:00,60.0,11.1,0.0,23.1
2020-01-01 15:00:00,55.5,6.8,0.0,33.1
2020-01-01 16:00:00,70.1,4.1,0.0,34.3
2020-01-01 17:00:00,69.4,2.1,0.0,24.3
2020-01-01 18:00:00,48.8,3.5,0.0,33.5
2020-01-01 19:00:00,48.3,7.7,0.0,29.6
2020-01-01 20:00:00,56.6,6.6,0.01,43.7
2020-01-01 21:00:00,72.5,4.7,0.0,25.9
2020-01-01 22:00:00,49.9,8.8,0.0,37.8
2020-01-01 23:00:00,66.7,1.2,0.0,38.8
2020-01-02 00:00:00,61.8,9.7,0.0,35.7
2020-01-02 01:00:00,65.9,3.8,0.0,28.4
2020-01-02 02:00:00,63.1,2.1,0.0,29.9
2020-01-02 03:00:00,50.0,5.7,0.0,41.0
2020-01-02 04:00:00,72.5,4.7,0.0,25.9
2020-01-02 05:00:00,67.9,4.9,0.0,39.6
2020-01-02 06:00:00,58.7,12.2,0.0,32.1
2020-01-02 07:00:00,53.5,10.2,0.0,41.1
2020-01-02 08:00:00,46.4,1.5,0.0,30.7
2020-01-02 09:00:00,49.4,6.4,0.0,44.4
2020-01-02 10:00:00,56.2,6.9,0.0,36.5
2020-01-02 11:00:00,52.6,1.8,0.0,40.8
2020-01-02 12:00:00,72.1,7.7,0.0,39.3
2020-01-02 13:00:00,47.2,5.8,0.0,38.8
2020-01-02 14:00:00,44.7,1.1,0.0,43.9
2020-01-02 15:00:00,61.2,6.3,0.0,23.1
2020-01-02 16:00:00,61.6,12.6,0.0,24.8
2020-01-02 17:00:00,67.9,3.4,0.0,39.6
2020-01-02 18:00:00,58.3,3.7,0.0,23.5
2020-01-02 19:00:00,66.1,8.1,0.0,27.4
