timestamp,temperature,humidity,wind_speed,ghi,cloud_cover,is_heatwave,is_storm
2020-01-01 00:00,43.2,32.2,8.3,0.0,39.4,0,0
2020-01-01 01:00,43.3,36.0,5.5,0.0,47.6,0,0
2020-01-01 02:00,48.6,35.5,8.2,0.0,7.8,0,0
2020-01-01 03:00,46.8,28.3,12.9,0.0,47.9,0,0
2020-01-01 04:00,47.6,33.0,9.0,0.0,35.4,0,0
2020-01-01 05:00,55.7,32.2,8.4,0.0,12.6,0,0
2020-01-01 06:00,56.4,32.5,6.5,0,35.6,0,0
2020-01-01 07:00,59.5,29.9,7.2,176.9,48.7,0,0
2020-01-01 08:00,65.7,25.1,4.6,325.2,49.8,0,0
2020-01-01 09:00,68.3,25.7,4.2,434.9,22.2,0,0
2020-01-01 10:00,65.9,37.1,5.5,673.3,34.0,0,0
2020-01-01 11:00,66.3,37.8,7.0,807.1,22.1,0,0
2020-01-01 12:00,69.6,22.8,5.9,787.0,39.2,0,0
2020-01-01 13:00,68.3,33.2,12.3,914.8,21.5,0,0
2020-01-01 14:00,69.8,29.8,6.9,607.5,29.8,0,0
2020-01-01 15:00,64.4,28.4,6.6,637.1,12.1,0,0
2020-01-01 16:00,65.7,30.8,8.6,399.3,49.5,0,0
2020-01-01 17:00,62.5,41.1,12.0,186.3,47.6,0,0
2020-01-01 18:00,57.7,30.0,6.8,0.0,14.2,0,0
2020-01-01 19:00,52.8,40.7,5.9,0.0,14.8,0,0
2020-01-01 20:00,44.0,45.1,7.7,0.0,5.4,0,0
2020-01-01 21:00,44.4,43.3,8.0,0.0,46.7,0,0
2020-01-01 22:00,45.6,43.6,7.1,0.0,34.4,0,0
2020-01-01 23:00,48.7,43.2,5.4,0.0,16.9,0,0
2020-01-02 00:00,46.3,32.1,10.0,0.0,47.1,0,0
2020-01-02 01:00,45.1,45.4,1.9,0.0,46.3,0,0
2020-01-02 02:00,45.1,44.1,8.5,0.0,43.3,0,0
2020-01-02 03:00,47.2,45.7,9.0,0.0,6.5,0,0
2020-01-02 04:00,48.5,30.2,1.1,0.0,8.1,0,0
2020-01-02 05:00,52.1,30.1,1.3,0.0,18.7,0,0
2020-01-02 06:00,59.8,34.1,6.3,0,8.3,0,0
2020-01-02 07:00,63.3,36.0,10.9,199.2,47.0,0,0
2020-01-02 08:00,63.5,26.9,5.1,453.2,8.7,0,0
2020-01-02 09:00,62.9,41.1,10.0,595.5,5.3,0,0
2020-01-02 10:00,64.6,31.8,12.6,587.6,12.5,0,0
2020-01-02 11:00,69.4,23.9,8.3,596.9,15.5,0,0
2020-01-02 12:00,66.8,38.6,1.3,675.8,9.7,0,0
2020-01-02 13:00,66.9,40.3,6.2,604.3,7.8,0,0
2020-01-02 14:00,65.7,31.3,4.6,611.3,36.3,0,0
2020-01-02 15:00,66.5,33.8,1.6,430.5,44.8,0,0
2020-01-02 16:00,62.4,22.4,8.6,452.6,12.9,0,0
2020-01-02 17:00,63.5,25.8,3.5,163.0,17.5,0,0
2020-01-02 18:00,57.1,30.4,11.1,0.0,30.7,0,0
2020-01-02 19:00,51.8,39.9,1.9,0.0,43.0,0,0
2020-01-02 20:00,47.1,44.8,12.5,0.0,42.4,0,0
2020-01-02 21:00,44.2,38.3,8.6,0.0,11.6,0,0
2020-01-02 22:00,44.9,43.6,1.4,0.0,12.3,0,0
2020-01-02 23:00,44.4,32.4,11.8,0.0,10.4,0,0
2020-01-03 00:00,43.3,30.5,6.0,0.0,41.9,0,0
2020-01-03 01:00,44.2,47.2,10.5,0.0,26.4,0,0
2020-01-03 02:00,43.6,47.0,10.7,0.0,25.5,0,0
2020-01-03 03:00,48.5,45.0,3.0,0.0,27.5,0,0
2020-01-03 04:00,48.3,38.5,12.1,0.0,38.0,0,0
2020-01-03 05:00,55.5,31.7,8.7,0.0,24.0,0,0
2020-01-03 06:00,60.3,25.5,4.5,0,6.0,0,0
2020-01-03 07:00,58.3,33.4,3.0,239.2,16.3,0,0
2020-01-03 08:00,62.3,28.7,11.6,352.3,9.8,0,0
2020-01-03 09:00,66.0,38.4,11.6,618.0,38.7,0,0
