timestamp,equipment,alarm_code,message,state
2024-08-12 10:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.2 > 85.0,ACTIVE
2024-08-12 10:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.4 returned below 85.0,CLEARED
2024-08-13 09:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.2 > 85.0,ACTIVE
2024-08-13 09:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.60000000000001 returned below 85.0,CLEARED
2024-08-13 10:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.4 > 85.0,ACTIVE
2024-08-13 10:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.60000000000001 returned below 85.0,CLEARED
2024-08-13 11:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.7 > 85.0,ACTIVE
2024-08-13 11:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.4 returned below 85.0,CLEARED
2024-08-13 11:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.2 > 85.0,ACTIVE
2024-08-13 13:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.89999999999999 returned below 85.0,CLEARED
2024-08-13 13:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.6 > 85.0,ACTIVE
2024-08-13 14:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.8 returned below 85.0,CLEARED
2024-08-13 14:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.7 > 85.0,ACTIVE
2024-08-13 15:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.89999999999999 returned below 85.0,CLEARED
2024-08-13 15:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.2 > 85.0,ACTIVE
2024-08-13 15:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.89999999999999 returned below 85.0,CLEARED
2024-08-13 16:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.39999999999999 > 85.0,ACTIVE
2024-08-13 16:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.7 returned below 85.0,CLEARED
